trigger code,timestamp,CH00,CH01
00000002,1337,50E2,88B4
00000002,1337,50F4,A8EC
00000002,1337,4C70,8226
00000002,1337,514B,CED7
00000002,1337,5212,8956
00000002,1337,5200,84CD
00000002,1337,518F,88DC
00000002,1337,514F,87A4
00000002,1337,511A,8806
00000002,1337,507E,822D
00000002,1337,515B,A871
00000002,1337,5212,87D1
00000002,1337,5115,84D6
00000002,1337,51C9,8510
00000002,1337,51DC,8487
00000002,1337,520B,88F1
00000002,1337,506E,EA04
00000002,1337,50C7,B003
00000002,1337,5481,8BDD
00000002,1337,51DE,84D6
00000002,1337,526B,C908
00000002,1337,512D,8671
00000002,1337,5226,CAAE
00000002,1337,50DF,8640
00000002,1337,5045,C202
00000002,1337,50AC,FF53
00000002,1337,526B,861C
00000002,1337,5130,8256
00000002,1337,5144,85B5
00000002,1337,4D30,81D6
00000002,1337,5112,85F7
00000002,1337,513B,887C
00000002,1337,5094,0A63
00000002,1337,5051,8477
00000002,1337,518A,858F
00000002,1337,513E,8421
00000002,1337,4B98,8050
00000002,1337,515E,93D8
00000002,1337,51C2,99BF
00000002,1337,51EF,86CC
00000002,1337,51F1,8794
00000002,1337,521E,8932
00000002,1337,505B,A4F0
00000002,1337,512B,F72E
00000002,1337,4F84,84FE
00000002,1337,5098,8779
00000002,1337,5044,82EE
00000002,1337,5109,CF58
00000002,1337,51AA,890A
00000002,1337,5222,896D
00000002,1337,50F3,8ADC
00000002,1337,521A,880C
00000002,1337,5246,D2AC
00000002,1337,50BF,87C4
00000002,1337,5219,8727
00000002,1337,51FB,8953
00000002,1337,5199,88A4
00000002,1337,517C,8BB3
00000002,1337,5187,847D
00000002,1337,520B,874E
00000002,1337,4CC6,82F1
00000002,1337,509F,8797
00000002,1337,51DD,89C8
00000002,1337,5119,84F7
00000002,1337,5142,8835
00000002,1337,512D,8367
00000002,1337,50E1,B245
00000002,1337,50BF,850B
00000002,1337,520C,DB8D
00000002,1337,5135,833E
00000002,1337,5067,87A7
00000002,1337,5176,834D
00000002,1337,5159,86D0
00000002,1337,5228,8390
00000002,1337,521D,86EB
00000002,1337,5076,8D1E
00000002,1337,517A,8608
00000002,1337,50E7,03AB
00000002,1337,4F90,0D77
00000002,1337,5119,961B
00000002,1337,510B,8427
00000002,1337,51B7,8427
00000002,1337,5251,8661
00000002,1337,50C7,CEA8
00000002,1337,50AA,8737
00000002,1337,4F92,8221
00000002,1337,508E,86A3
00000002,1337,513F,AB2A
00000002,1337,5163,EE1D
00000002,1337,515E,8541
00000002,1337,505A,8407
00000002,1337,502D,84D4
00000002,1337,5181,E115
00000002,1337,520E,881E
00000002,1337,52E1,E5DF
00000002,1337,5164,AF4E
00000002,1337,523A,8BE4
00000002,1337,5231,856B
00000002,1337,5246,86F1
00000002,1337,520E,9138
00000002,1337,5209,EC6D
00000002,1337,5148,8671
00000002,1337,50BB,8870
00000002,1337,5157,83E4
00000002,1337,50E5,82BE
00000002,1337,5188,8738
00000002,1337,51C4,2BC8
00000002,1337,5128,837E
00000002,1337,513E,F426
00000002,1337,512D,8308
00000002,1337,50B8,838E
00000002,1337,4BD8,8435
00000002,1337,5081,82A7
00000002,1337,50C7,86BE
00000002,1337,4C85,80E2
00000002,1337,512B,89D4
00000002,1337,5156,83E7
00000002,1337,515A,835C
00000002,1337,5059,8FF4
00000002,1337,5204,858A
00000002,1337,50C1,8711
00000002,1337,4FA5,8257
00000002,1337,5277,846E
00000002,1337,5207,8859
00000002,1337,50C2,84A8
00000002,1337,5217,8681
00000002,1337,51AE,9D50
00000002,1337,508A,827F
00000002,1337,515D,9B13
00000002,1337,4B04,FCDC
00000002,1337,4F21,8635
00000002,1337,512A,8BAB
00000002,1337,50F6,8467
00000002,1337,5216,896B
00000002,1337,515D,B71D
00000002,1337,51E6,834E
00000002,1337,4BD4,8092
00000002,1337,51F6,84EF
00000002,1337,4F72,81A9
00000002,1337,512F,8347
00000002,1337,5231,83EB
00000002,1337,5022,89D7
00000002,1337,50AD,881F
00000002,1337,5195,8424
00000002,1337,526D,8897
00000002,1337,518C,843A
00000002,1337,5110,84EA
00000002,1337,5213,8690
00000002,1337,516B,844A
00000002,1337,526B,8CE1
00000002,1337,5221,9557
00000002,1337,51D5,850A
00000002,1337,5192,839A
00000002,1337,513E,C801
00000002,1337,4D70,FD87
00000002,1337,4CE7,FBFA
00000002,1337,5099,85C2
00000002,1337,5129,8461
00000002,1337,516C,BD5E
00000002,1337,515A,83F7
00000002,1337,5201,8500
00000002,1337,51A8,8913
00000002,1337,5190,862D
00000002,1337,4E91,8397
00000002,1337,5241,8780
00000002,1337,4C89,8053
00000002,1337,4BBD,D53D
00000002,1337,51E1,85CE
00000002,1337,513A,AA31
00000002,1337,50D5,AD81
00000002,1337,5207,459E
00000002,1337,4ECD,815F
00000002,1337,5200,9C5B
00000002,1337,50AF,8780
00000002,1337,512B,CC8D
00000002,1337,50A0,83E7
00000002,1337,50F1,F75A
00000002,1337,523E,87F3
00000002,1337,508D,84BF
00000002,1337,4E87,F1D4
00000002,1337,4B2C,7F1B
00000002,1337,4CF1,81B5
00000002,1337,50CC,A0E1
00000002,1337,50A1,D0C5
00000002,1337,4E55,9433
00000002,1337,50D5,CEAC
00000002,1337,521B,8752
00000002,1337,51E6,83FF
00000002,1337,51EE,FEE2
00000002,1337,5173,8805
00000002,1337,4E34,84FF
00000002,1337,4B9A,A01D
00000002,1337,5174,8613
00000002,1337,5100,9695
00000002,1337,5144,832A
00000002,1337,4D31,843D
00000002,1337,4E21,847B
00000002,1337,512D,870A
00000002,1337,51FF,8A89
00000002,1337,521E,89DD
00000002,1337,5040,FE6E
00000002,1337,50DD,885E
00000002,1337,4FB6,8565
00000002,1337,512E,85C8
00000002,1337,519D,84F5
00000002,1337,5129,85F1
00000002,1337,524F,84CA
00000002,1337,5193,8550
00000002,1337,5152,84F5
00000002,1337,50C7,8708
00000002,1337,5023,8306
00000002,1337,50A7,92DF
00000002,1337,51E0,C9C5
00000002,1337,516F,8672
00000002,1337,523E,8430
00000002,1337,5197,870B
00000002,1337,5050,84AA
00000002,1337,5071,8667
00000002,1337,50E4,842E
00000002,1337,5103,8368
00000002,1337,523D,094F
00000002,1337,51EF,8770
00000002,1337,4D94,80E8
00000002,1337,5222,B086
00000002,1337,5193,86E0
00000002,1337,5112,84D7
00000002,1337,50CA,DCBB
00000002,1337,4FC2,B17B
00000002,1337,5119,872D
00000002,1337,52C2,88B0
00000002,1337,508A,87FF
00000002,1337,51F3,8816
00000002,1337,5220,851A
00000002,1337,5125,B069
00000002,1337,4DDB,85D1
00000002,1337,51E5,86E7
00000002,1337,508F,8425
00000002,1337,50EA,C79A
00000002,1337,4DA1,888B
00000002,1337,5055,B144
00000002,1337,50D9,8370
00000002,1337,511E,85FB
00000002,1337,518A,8350
00000002,1337,50F2,85C4
00000002,1337,506B,839C
00000002,1337,50FE,838A
00000002,1337,50E2,87BD
00000002,1337,4C80,81B5
00000002,1337,51D1,85D1
00000002,1337,522B,8FBC
00000002,1337,5035,8DE1
00000002,1337,516A,0E55
00000002,1337,51C7,86DC
00000002,1337,51F8,861C
00000002,1337,50A3,868C
00000002,1337,51CB,88DD
00000002,1337,5109,8EE8
00000002,1337,4FA3,83CD
00000002,1337,50DC,870E
00000002,1337,5103,E7C4
00000002,1337,5122,83A8
00000002,1337,5187,848F
00000002,1337,5060,8290
00000002,1337,51C5,8842
00000002,1337,5131,82D1
00000002,1337,513F,8472
00000002,1337,51E3,04BA
00000002,1337,5185,842F
00000002,1337,50A2,E5A3
00000002,1337,4D32,8559
00000002,1337,51D6,D740
00000002,1337,51BF,D4F7
00000002,1337,5130,87FB
00000002,1337,5175,8FAD
00000002,1337,50AB,0ECF
00000002,1337,5114,540F
00000002,1337,5181,88A3
00000002,1337,5033,EC4B
00000002,1337,5190,8994
