17:48:13.357 2024/01/08 [ODBEdit,ERROR] [system.c:4464:recv_tcp,ERROR] header: recv returned 0, n_received = 0, unexpected connection closure
17:48:13.597 2024/01/08 [ODBEdit,INFO] Server connection broken to 'spa-cdms2.spa.umn.edu:7071'
17:48:13.706 2024/01/08 [ODBEdit,INFO] Program ODBEdit on host spa-cdms2 stopped
17:48:14.248 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:14.346 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:14.543 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:14.718 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.262 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.316 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.350 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.374 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.390 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.404 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.416 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.425 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.437 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.446 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.454 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.463 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.472 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.480 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.489 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.498 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.506 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.515 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.524 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.532 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.541 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.549 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.558 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.567 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.576 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.584 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.593 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.602 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.610 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.619 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.628 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.636 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.645 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.654 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.662 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.671 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.680 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.688 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.697 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.706 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.714 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.723 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.732 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.740 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.749 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.758 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.766 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.775 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.784 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.792 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.801 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.810 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.818 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.827 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.836 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.844 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.853 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.862 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.870 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.879 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.888 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.896 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.905 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.914 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.922 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.931 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.940 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.948 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.957 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.966 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:15.974 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:15.983 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:15.992 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.000 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.009 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.019 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.027 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.036 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.045 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.053 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.062 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.072 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.080 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.088 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.098 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.106 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.115 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.124 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
17:48:16.132 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.140 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
17:48:16.150 2024/01/08 [ODBEdit,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
