treshold, rate
0, 310.866669
136, 5984.300293
272, 6914.000000
408, 5724.000000
544, 4723.200195
680, 4068.500000
816, 2631.833252
952, 1710.433228
1088, 1433.099976
1224, 1253.833374
1360, 1094.599976
1496, 926.666687
1632, 817.799988
1768, 669.333313
1904, 291.566681
2040, 118.866669
2176, 78.900002
2312, 53.500000
2448, 43.066666
2584, 22.066666
2720, 13.099999
2856, 9.599999
2992, 9.066667
3128, 9.133334
3264, 7.233334
3400, 7.666667
3536, 6.866667
3672, 6.266666
3808, 5.966667
3944, 5.533333
4080, 5.933333
4216, 5.100000
4352, 6.033333
4488, 5.833333
4624, 4.900000
4760, 4.933333
4896, 6.333333
5032, 5.466667
5168, 5.533333
5304, 5.233333
5440, 5.333333
5576, 4.900000
5712, 5.600000
5848, 4.900000
5984, 4.800000
6120, 4.666667
6256, 5.666667
6392, 5.066667
6528, 4.000000
6664, 4.933333
6800, 5.466667
6936, 5.800000
7072, 4.833333
7208, 4.866667
7344, 5.333333
7480, 5.100000
7616, 5.166667
7752, 4.966667
7888, 4.800000
8024, 4.300000
8160, 5.533333
8296, 4.900000
8432, 4.066667
8568, 4.766666
8704, 5.366666
8840, 5.033333
8976, 4.800000
9112, 4.766666
9248, 4.266667
9384, 4.800000
9520, 4.466667
9656, 4.600000
9792, 4.533333
9928, 5.266667
10064, 4.600000
10200, 4.666667
10336, 4.066667
10472, 4.533333
10608, 4.766666
10744, 4.700000
10880, 4.866667
11016, 4.100000
11152, 4.233333
11288, 4.666667
11424, 4.266667
11560, 5.300000
11696, 4.500000
11832, 4.966667
11968, 4.000000
12104, 4.300000
12240, 4.900000
12376, 4.133333
12512, 4.566667
12648, 4.933333
12784, 3.900000
12920, 4.233333
13056, 4.533333
13192, 3.933333
13328, 3.866667
13464, 4.533333
13600, 4.866666
13736, 3.766667
13872, 4.900000
14008, 5.066667
14144, 4.333333
14280, 4.200000
14416, 4.266667
14552, 4.000000
14688, 4.866666
14824, 4.233333
14960, 4.766667
15096, 4.666667
15232, 5.200000
15368, 4.566667
15504, 4.633333
15640, 4.500000
15776, 4.466667
15912, 5.566667
16048, 4.100000
16184, 1.066667
16320, 0.000000
