lower (MeV), upper (MeV), rate
0.000000, 0.050000, 633.383240
0.050000, 0.100000, 121561.757812
0.100000, 0.150000, 473.430939
0.150000, 0.200000, 384.118317
0.200000, 0.250000, 323.629669
0.250000, 0.300000, 307.211212
0.300000, 0.350000, 355.759155
0.350000, 0.400000, 357.683136
0.400000, 0.450000, 268.442291
0.450000, 0.500000, 186.608444
0.500000, 0.550000, 153.205627
0.550000, 0.600000, 139.278885
0.600000, 0.650000, 129.523926
0.650000, 0.700000, 121.823929
0.700000, 0.750000, 115.378868
0.750000, 0.800000, 110.933807
0.800000, 0.850000, 104.635216
0.850000, 0.900000, 100.391548
0.900000, 0.950000, 94.392967
0.950000, 1.000000, 88.622543
1.000000, 1.050000, 84.361961
1.050000, 1.100000, 80.642265
1.100000, 1.150000, 75.446480
1.150000, 1.200000, 70.750694
1.200000, 1.250000, 66.325356
1.250000, 1.300000, 65.498589
1.300000, 1.350000, 70.894356
1.350000, 1.400000, 74.923943
1.400000, 1.450000, 73.716904
1.450000, 1.500000, 65.318306
1.500000, 1.550000, 51.639435
1.550000, 1.600000, 41.107044
1.600000, 1.649999, 36.818306
1.649999, 1.699999, 35.084499
1.699999, 1.749999, 34.133804
1.749999, 1.799999, 31.719717
1.799999, 1.849999, 28.964792
1.849999, 1.899999, 25.801407
1.899999, 1.949999, 23.636618
1.949999, 1.999999, 22.460562
1.999999, 2.049999, 22.712675
2.049999, 2.099999, 25.190140
2.099999, 2.149999, 27.114082
2.149999, 2.199999, 26.929577
2.199999, 2.249999, 24.677462
2.249999, 2.299999, 22.212675
2.299999, 2.349999, 18.414085
2.349999, 2.399999, 15.660563
2.399999, 2.449999, 14.016903
2.449999, 2.499999, 13.912675
2.499999, 2.549999, 13.988731
2.549999, 2.599999, 14.194366
2.599999, 2.649999, 13.897184
2.649999, 2.699999, 12.857743
2.699999, 2.749999, 11.700005
2.749999, 2.799999, 10.488731
2.799999, 2.849998, 9.623943
2.849998, 2.899998, 9.350705
2.899998, 2.949998, 9.387324
2.949998, 2.999998, 8.949294
2.999998, 3.049998, 8.692957
3.049998, 3.099998, 8.643661
3.099998, 3.149998, 8.577465
3.149998, 3.199998, 8.359155
3.199998, 3.249998, 8.208449
3.249998, 3.299998, 8.035212
3.299998, 3.349998, 8.023944
3.349998, 3.399998, 7.791548
3.399998, 3.449998, 7.785916
3.449998, 3.499998, 7.763381
3.499998, 3.549998, 7.621128
3.549998, 3.599998, 7.576056
3.599998, 3.649998, 7.252111
3.649998, 3.699998, 7.381689
3.699998, 3.749998, 7.329579
3.749998, 3.799998, 6.970422
3.799998, 3.849998, 7.005634
3.849998, 3.899997, 6.764788
3.899997, 3.949997, 6.726761
3.949997, 3.999997, 6.574649
3.999997, 4.049997, 6.571831
4.049997, 4.099998, 6.487325
4.099998, 4.149998, 6.409859
4.149998, 4.199998, 6.336620
4.199998, 4.249998, 6.160563
4.249998, 4.299998, 6.159155
4.299998, 4.349998, 5.932395
4.349998, 4.399999, 6.005633
4.399999, 4.449999, 5.954931
4.449999, 4.499999, 5.695774
4.499999, 4.549999, 5.600001
4.549999, 4.599999, 5.608451
4.599999, 4.650000, 5.374648
4.650000, 4.700000, 5.285916
4.700000, 4.750000, 5.273239
4.750000, 4.800000, 5.232395
4.800000, 4.850000, 5.052113
4.850000, 4.900001, 4.901408
4.900001, 4.950001, 4.888732
4.950001, 5.000001, 4.752113
5.000001, 5.050001, 4.687324
5.050001, 5.100001, 4.691548
5.100001, 5.150002, 4.502817
5.150002, 5.200002, 4.467606
5.200002, 5.250002, 4.528169
5.250002, 5.300002, 4.397182
5.300002, 5.350002, 4.273240
5.350002, 5.400002, 4.369014
5.400002, 5.450003, 4.242254
5.450003, 5.500003, 4.277464
5.500003, 5.550003, 4.207042
5.550003, 5.600003, 4.085914
5.600003, 5.650003, 3.952113
5.650003, 5.700004, 3.845071
5.700004, 5.750004, 3.812676
5.750004, 5.800004, 3.671831
5.800004, 5.850004, 3.671831
5.850004, 5.900004, 3.656338
5.900004, 5.950005, 3.392958
5.950005, 6.000005, 3.405634
6.000005, 6.050005, 3.240846
6.050005, 6.100005, 3.218310
6.100005, 6.150005, 3.115493
6.150005, 6.200006, 2.987324
6.200006, 6.250006, 2.897183
6.250006, 6.300006, 2.776057
6.300006, 6.350006, 2.626760
6.350006, 6.400006, 2.560563
6.400006, 6.450006, 2.561972
6.450006, 6.500007, 2.357747
6.500007, 6.550007, 2.336620
6.550007, 6.600007, 2.174648
6.600007, 6.650007, 2.115493
6.650007, 6.700007, 1.997183
6.700007, 6.750008, 1.840845
6.750008, 6.800008, 1.800000
6.800008, 6.850008, 1.766197
6.850008, 6.900008, 1.623944
6.900008, 6.950008, 1.483098
6.950008, 7.000009, 1.457747
7.000009, 7.050009, 1.360563
7.050009, 7.100009, 1.316901
7.100009, 7.150009, 1.160563
7.150009, 7.200009, 1.050704
7.200009, 7.250010, 0.959155
7.250010, 7.300010, 0.966197
7.300010, 7.350010, 0.945070
7.350010, 7.400010, 0.823944
7.400010, 7.450010, 0.750704
7.450010, 7.500010, 0.692958
7.500010, 7.550011, 0.652113
7.550011, 7.600011, 0.547887
7.600011, 7.650011, 0.554930
7.650011, 7.700011, 0.526761
7.700011, 7.750011, 0.471831
7.750011, 7.800012, 0.464789
7.800012, 7.850012, 0.483099
7.850012, 7.900012, 0.408451
7.900012, 7.950012, 0.353521
7.950012, 8.000012, 0.387324
8.000012, 8.050013, 0.350704
8.050013, 8.100013, 0.316901
8.100013, 8.150013, 0.271831
8.150013, 8.200013, 0.290141
8.200013, 8.250013, 0.284507
8.250013, 8.300014, 0.254930
8.300014, 8.350014, 0.232394
8.350014, 8.400014, 0.247887
8.400014, 8.450014, 0.187324
8.450014, 8.500014, 0.174648
8.500014, 8.550014, 0.129577
8.550014, 8.600015, 0.139437
8.600015, 8.650015, 0.118310
8.650015, 8.700015, 0.102817
8.700015, 8.750015, 0.087324
8.750015, 8.800015, 0.100000
8.800015, 8.850016, 0.090141
8.850016, 8.900016, 0.052113
8.900016, 8.950016, 0.066197
