treshold, rate
0, 25353.800000
40, 392409.700000
80, 1384193.000000
120, 709850.000000
160, 193649.800000
200, 161723.600000
240, 33449.700000
280, 32528.300000
320, 31367.400000
360, 30225.400000
400, 28938.900000
440, 27645.400000
480, 26451.000000
520, 25159.100000
560, 23979.500000
600, 22990.100000
640, 22089.200000
680, 21336.000000
720, 20376.200000
760, 19049.400000
800, 17471.200000
840, 15467.700000
880, 13234.000000
920, 11637.000000
960, 10554.700000
1000, 9929.000000
1040, 9516.900000
1080, 9269.000000
1120, 8948.900000
1160, 8647.600000
1200, 8278.600000
1240, 8039.200000
1280, 7615.900000
1320, 7376.400000
1360, 7053.800000
1400, 6808.400000
1440, 6494.000000
1480, 6198.200000
1520, 5928.100000
1560, 5603.400000
1600, 5410.400000
1640, 5169.800000
1680, 4967.900000
1720, 4686.500000
1760, 4393.900000
1800, 4022.300000
1840, 3685.700000
1880, 3286.900000
1920, 2811.700000
1960, 2382.100000
2000, 1929.200000
2040, 1542.100000
2080, 1286.400000
2120, 1091.300000
2160, 953.400000
2200, 862.300000
2240, 756.400000
2280, 701.000000
2320, 635.100000
2360, 587.700000
2400, 533.400000
2440, 478.800000
2480, 431.700000
2520, 386.800000
2560, 339.300000
2600, 299.600000
2640, 267.400000
2680, 240.600000
2720, 211.700000
2760, 188.200000
2800, 173.400000
2840, 154.800000
2880, 157.200000
2920, 152.800000
2960, 135.200000
3000, 142.900000
3040, 139.300000
3080, 128.000000
3120, 124.900000
3160, 124.800000
3200, 113.800000
3240, 123.600000
3280, 111.400000
3320, 113.000000
3360, 112.400000
3400, 107.000000
3440, 102.800000
3480, 101.500000
3520, 102.700000
3560, 94.700000
3600, 88.300000
3640, 93.200000
3680, 89.800000
3720, 83.200000
3760, 82.100000
3800, 80.300000
3840, 75.700000
3880, 75.500000
3920, 74.400000
3960, 75.200000
4000, 73.700000
4040, 67.900000
4080, 66.600000
4120, 70.800000
4160, 68.300000
4200, 68.600000
4240, 64.900000
4280, 65.900000
4320, 66.000000
4360, 64.900000
4400, 62.900000
4440, 59.500000
4480, 62.800000
4520, 61.100000
4560, 63.700000
4600, 66.700000
4640, 67.500000
4680, 64.300000
4720, 58.600000
4760, 62.700000
4800, 61.100000
4840, 60.500000
4880, 63.100000
4920, 59.900000
4960, 55.800000
5000, 62.200000
5040, 56.900000
5080, 61.900000
5120, 53.500000
5160, 59.100000
5200, 58.900000
5240, 58.000000
5280, 57.500000
5320, 59.100000
5360, 58.000000
5400, 57.200000
5440, 52.800000
5480, 56.200000
5520, 58.700000
5560, 58.200000
5600, 58.500000
5640, 61.400000
5680, 50.600000
5720, 56.100000
5760, 54.300000
5800, 56.000000
5840, 52.800000
5880, 54.800000
5920, 53.100000
5960, 53.500000
6000, 53.200000
6040, 56.900000
6080, 54.500000
6120, 56.900000
6160, 53.200000
6200, 56.000000
6240, 52.300000
6280, 52.700000
6320, 52.900000
6360, 52.100000
6400, 53.900000
6440, 54.800000
6480, 54.900000
6520, 54.600000
6560, 54.200000
6600, 51.400000
6640, 53.400000
6680, 56.600000
6720, 53.200000
6760, 53.500000
6800, 48.000000
6840, 53.100000
6880, 52.500000
6920, 53.700000
6960, 50.500000
7000, 53.400000
7040, 50.600000
7080, 54.500000
7120, 54.000000
7160, 53.900000
7200, 52.100000
7240, 54.500000
7280, 49.300000
7320, 51.900000
7360, 50.100000
7400, 50.100000
7440, 48.100000
7480, 49.500000
7520, 48.900000
7560, 47.100000
7600, 53.200000
7640, 53.300000
7680, 54.200000
7720, 49.900000
7760, 48.400000
7800, 54.100000
7840, 53.900000
7880, 51.600000
7920, 52.100000
7960, 54.000000
8000, 51.400000
8040, 51.500000
8080, 51.700000
8120, 49.600000
8160, 52.200000
