lower, upper, rate
0, 120, 0.000000
120, 240, 1288.644409
240, 360, 1525.733276
360, 480, 1913.422119
480, 600, 1710.311157
600, 720, 1145.311035
720, 840, 809.900024
840, 960, 3451.233398
960, 1080, 2843.288818
1080, 1200, 340.755554
1200, 1320, 319.711121
1320, 1440, 318.611115
1440, 1560, 316.166626
1560, 1680, 322.311127
1680, 1800, 293.700043
1800, 1920, 195.311111
1920, 2040, 208.722214
2040, 2160, 764.833252
2160, 2280, 642.111084
2280, 2400, 179.844437
2400, 2520, 138.600006
2520, 2640, 111.233337
2640, 2760, 68.644440
2760, 2880, 68.677765
2880, 3000, 142.544449
3000, 3120, 85.288887
3120, 3240, 15.788890
3240, 3360, 3.644444
3360, 3480, 1.955556
3480, 3600, 1.622222
3600, 3720, 1.200000
3720, 3840, 0.711111
3840, 3960, 0.911111
3960, 4080, 0.844445
