treshold, rate
0, 39.400000
40, 66910.200000
80, 64311.200000
120, 15366.800000
160, 14942.800000
200, 14597.600000
240, 14129.700000
280, 13692.100000
320, 13093.600000
360, 12404.600000
400, 11712.500000
440, 11079.700000
480, 10472.800000
520, 9973.800000
560, 9559.600000
600, 9265.300000
640, 8943.900000
680, 8620.200000
720, 8023.000000
760, 7030.600000
800, 5738.100000
840, 4591.500000
880, 3952.300000
920, 3670.900000
960, 3515.700000
1000, 3440.600000
1040, 3327.300000
1080, 3198.400000
1120, 3106.800000
1160, 2976.600000
1200, 2918.600000
1240, 2790.300000
1280, 2646.800000
1320, 2571.200000
1360, 2423.800000
1400, 2310.200000
1440, 2215.000000
1480, 2143.900000
1520, 2047.800000
1560, 1989.900000
1600, 1961.700000
1640, 1860.100000
1680, 1732.900000
1720, 1613.300000
1760, 1449.700000
1800, 1212.800000
1840, 977.200000
1880, 756.600000
1920, 649.800000
1960, 540.400000
2000, 477.600000
2040, 421.100000
2080, 389.200000
2120, 341.800000
2160, 302.900000
2200, 280.600000
2240, 259.100000
2280, 239.500000
2320, 212.000000
2360, 202.000000
2400, 161.700000
2440, 143.800000
2480, 115.800000
2520, 79.900000
2560, 61.400000
2600, 38.500000
2640, 28.900000
2680, 19.000000
2720, 15.300000
2760, 14.700000
2800, 13.200000
2840, 10.200000
2880, 10.700000
2920, 10.800000
2960, 11.300000
3000, 10.000000
3040, 8.700000
3080, 9.100000
3120, 9.500000
3160, 8.600000
3200, 8.700000
3240, 8.000000
3280, 9.800000
3320, 6.900000
3360, 9.500000
3400, 8.900000
3440, 6.200000
3480, 7.100000
3520, 7.800000
3560, 6.900000
3600, 6.000000
3640, 6.400000
3680, 6.400000
3720, 7.400000
3760, 7.300000
3800, 7.100000
3840, 5.700000
3880, 6.100000
3920, 5.500000
3960, 7.200000
4000, 6.100000
4040, 5.300000
4080, 6.200000
4120, 4.600000
4160, 5.400000
4200, 6.700000
4240, 7.000000
4280, 6.400000
4320, 7.500000
4360, 4.900000
4400, 6.600000
4440, 6.400000
4480, 5.500000
4520, 5.800000
4560, 6.300000
4600, 7.800000
4640, 6.700000
4680, 6.700000
4720, 5.200000
4760, 6.800000
4800, 5.900000
4840, 5.700000
4880, 5.400000
4920, 5.100000
4960, 7.900000
5000, 7.500000
5040, 5.000000
5080, 6.000000
5120, 5.300000
5160, 6.400000
5200, 6.300000
5240, 5.800000
5280, 4.700000
5320, 5.800000
5360, 6.300000
5400, 4.900000
5440, 6.500000
5480, 5.500000
5520, 5.900000
5560, 6.800000
5600, 6.100000
5640, 5.500000
5680, 6.500000
5720, 6.300000
5760, 5.400000
5800, 6.500000
5840, 3.800000
5880, 4.700000
5920, 6.300000
5960, 5.000000
6000, 6.000000
6040, 6.000000
6080, 6.000000
6120, 7.400000
6160, 6.800000
6200, 6.300000
6240, 6.000000
6280, 4.200000
6320, 5.600000
6360, 5.300000
6400, 5.200000
6440, 5.100000
6480, 4.900000
6520, 5.200000
6560, 5.500000
6600, 5.600000
6640, 5.200000
6680, 4.500000
6720, 5.800000
6760, 4.200000
6800, 5.200000
6840, 4.300000
6880, 5.400000
6920, 5.300000
6960, 6.000000
7000, 5.200000
7040, 4.000000
7080, 4.500000
7120, 4.900000
7160, 5.900000
7200, 4.500000
7240, 5.000000
7280, 5.200000
7320, 4.800000
7360, 5.400000
7400, 4.100000
7440, 4.800000
7480, 5.200000
7520, 5.000000
7560, 5.200000
7600, 5.400000
7640, 3.900000
7680, 5.300000
7720, 4.300000
7760, 6.700000
7800, 4.100000
7840, 4.800000
7880, 4.100000
7920, 4.100000
7960, 5.700000
8000, 4.200000
8040, 5.300000
8080, 5.300000
8120, 4.400000
8160, 5.300000
