treshold, rate
0, 118596.500000
40, 710242.800000
80, 1158250.500000
120, 558587.800000
160, 159201.700000
200, 90768.000000
240, 15079.700000
280, 14155.600000
320, 13326.200000
360, 12421.300000
400, 11738.300000
440, 11071.000000
480, 10565.600000
520, 10047.600000
560, 9597.400000
600, 9196.300000
640, 8826.800000
680, 8419.500000
720, 8083.500000
760, 7710.500000
800, 7382.400000
840, 7083.800000
880, 6753.500000
920, 6499.200000
960, 6273.300000
1000, 6124.700000
1040, 5949.100000
1080, 5730.600000
1120, 5561.500000
1160, 5406.600000
1200, 5273.900000
1240, 5129.500000
1280, 5005.700000
1320, 4880.700000
1360, 4711.700000
1400, 4583.600000
1440, 4474.700000
1480, 4363.000000
1520, 4255.500000
1560, 4175.200000
1600, 4079.600000
1640, 3899.600000
1680, 3831.400000
1720, 3744.700000
1760, 3634.000000
1800, 3557.800000
1840, 3471.900000
1880, 3375.300000
1920, 3322.100000
1960, 3199.800000
2000, 3132.000000
2040, 3013.400000
2080, 2956.600000
2120, 2906.700000
2160, 2810.400000
2200, 2731.000000
2240, 2662.000000
2280, 2595.900000
2320, 2531.400000
2360, 2467.400000
2400, 2392.300000
2440, 2337.600000
2480, 2274.900000
2520, 2206.100000
2560, 2155.100000
2600, 2109.100000
2640, 2049.600000
2680, 2003.200000
2720, 1937.100000
2760, 1891.900000
2800, 1872.700000
2840, 1822.500000
2880, 1774.800000
2920, 1738.000000
2960, 1678.500000
3000, 1628.700000
3040, 1630.300000
3080, 1580.200000
3120, 1521.900000
3160, 1468.300000
3200, 1435.000000
3240, 1412.800000
3280, 1380.300000
3320, 1362.500000
3360, 1295.000000
3400, 1264.800000
3440, 1253.500000
3480, 1227.500000
3520, 1207.000000
3560, 1183.200000
3600, 1158.400000
3640, 1140.300000
3680, 1152.600000
3720, 1103.400000
3760, 1081.600000
3800, 1066.900000
3840, 1050.800000
3880, 1056.700000
3920, 1024.500000
3960, 1004.300000
4000, 992.400000
4040, 983.400000
4080, 957.900000
4120, 978.000000
4160, 935.700000
4200, 918.200000
4240, 916.200000
4280, 900.500000
4320, 897.900000
4360, 896.300000
4400, 874.500000
4440, 852.500000
4480, 848.500000
4520, 822.300000
4560, 811.300000
4600, 795.400000
4640, 780.100000
4680, 791.200000
4720, 759.500000
4760, 728.600000
4800, 729.000000
4840, 709.600000
4880, 707.800000
4920, 693.400000
4960, 671.000000
5000, 662.900000
5040, 634.000000
5080, 607.900000
5120, 603.400000
5160, 608.300000
5200, 573.100000
5240, 568.700000
5280, 561.300000
5320, 542.300000
5360, 526.100000
5400, 517.500000
5440, 514.700000
5480, 486.600000
