lower (MeV), upper (MeV), rate
0.000000, 0.100000, 2503.250000
0.100000, 0.200000, 1636.849976
0.200000, 0.300000, 1544.800049
0.300000, 0.400000, 1777.099976
0.400000, 0.500000, 576.400024
0.500000, 0.600000, 483.100006
0.600000, 0.700000, 427.350006
0.700000, 0.800000, 373.350006
0.800000, 0.900000, 339.850006
0.900000, 1.000000, 305.050018
1.000000, 1.100000, 278.100006
1.100000, 1.200000, 262.200012
1.200000, 1.300000, 245.500000
1.300000, 1.400000, 222.099991
1.400000, 1.500000, 204.050003
1.500000, 1.600000, 216.199997
1.600000, 1.700000, 206.750000
1.700000, 1.800000, 184.250000
1.800000, 1.900000, 142.250000
1.900000, 2.000000, 180.550003
2.000000, 2.100000, 296.549988
2.100000, 2.200000, 156.050003
2.200000, 2.300000, 86.050003
2.300000, 2.400000, 80.299995
2.400000, 2.500000, 81.300003
2.500000, 2.600000, 71.750000
2.600000, 2.700000, 68.000000
2.700000, 2.799999, 71.250000
2.799999, 2.899999, 72.250000
2.899999, 2.999999, 63.549999
2.999999, 3.099999, 71.599998
3.099999, 3.199999, 74.250000
3.199999, 3.299999, 74.500000
3.299999, 3.399999, 71.900002
3.399999, 3.499999, 72.900002
3.499999, 3.599999, 90.250000
3.599999, 3.699999, 106.650002
3.699999, 3.799999, 92.849998
3.799999, 3.899998, 69.500000
3.899998, 3.999998, 68.800003
3.999998, 4.099998, 95.449997
4.099998, 4.199998, 93.150002
4.199998, 4.299998, 50.049999
4.299998, 4.399998, 23.799999
4.399998, 4.499998, 19.400000
4.499998, 4.599998, 18.750000
4.599998, 4.699998, 17.900000
4.699998, 4.799998, 16.900000
4.799998, 4.899998, 16.299999
4.899998, 4.999998, 19.150000
4.999998, 5.099998, 16.549999
5.099998, 5.199997, 16.650000
5.199997, 5.299997, 14.800000
5.299997, 5.399997, 15.800000
5.399997, 5.499997, 13.700000
5.499997, 5.599997, 12.850000
5.599997, 5.699997, 13.050000
5.699997, 5.799997, 11.500000
5.799997, 5.899997, 11.150000
5.899997, 5.999997, 9.850000
5.999997, 6.099997, 8.850000
6.099997, 6.199996, 9.000000
6.199996, 6.299996, 7.450000
6.299996, 6.399996, 6.850000
6.399996, 6.499996, 7.100000
6.499996, 6.599996, 6.500000
6.599996, 6.699996, 5.400000
6.699996, 6.799996, 5.150000
6.799996, 6.899996, 6.150000
6.899996, 6.999996, 4.500000
6.999996, 7.099996, 4.450000
7.099996, 7.199996, 2.900000
7.199996, 7.299995, 2.950000
7.299995, 7.399995, 3.600000
7.399995, 7.499995, 3.200000
7.499995, 7.599995, 3.150000
7.599995, 7.699995, 1.650000
7.699995, 7.799995, 1.350000
7.799995, 7.899995, 1.300000
7.899995, 7.999995, 0.900000
7.999995, 8.099995, 0.250000
8.099995, 8.199995, 0.400000
8.199995, 8.299995, 0.300000
