lower, upper,rate,ratew4, ratew6
1000,1084,14.5299998,14.825,14.333333
1084,1168,13.5400004,13.25,13.733334
1168,1252,12.0399998,12.875,11.483333
1252,1336,12.0699998,12.125,12.033333
1336,1420,10.1800008,10.400001,10.033334
1420,1504,9.7499998,10,9.583333
1504,1588,9.0800004,8.475,9.483334
1588,1672,8.8399998,9.225,8.583333
1672,1756,8.3299996,8.05,8.516666
1756,1840,7.36,7.525,7.25
1840,1924,7.6300002,7.275,7.866667
1924,2008,7.8800002,7.3,8.266667
2008,2092,6.9300004,6.925,6.933334
2092,2176,5.5499998,5.125,5.833333
2176,2260,5.6899998,5.475,5.833333
2260,2344,5.7800002,5.875,5.716667
2344,2428,5.07,5.25,4.95
2428,2512,4.5499998,5.25,4.083333
2512,2596,4.2200002,4.45,4.066667
2596,2680,3.5500002,3.375,3.666667
2680,2764,3.64,3.7,3.6
2764,2848,4.82,5.075,4.65
2848,2932,6.47,7.175,6
2932,3016,4.4400002,4.775,4.216667
3016,3100,2.4099998,2.75,2.183333
3100,3184,1.9400002,2.05,1.866667
3184,3268,1.7599998,1.575,1.883333
3268,3352,1.5700002,1.725,1.466667
3352,3436,1.77,1.65,1.85
3436,3520,1.5900002,1.475,1.666667
3520,3604,1.3900002,1.425,1.366667
3604,3688,1.58,1.85,1.4
3688,3772,1.2299998,1.375,1.133333
3772,3856,1.2699998,1.175,1.333333
3856,3940,1.4499998,1.7,1.283333
3940,4024,1.16,1.1,1.2
4024,4108,1.2500002,1.375,1.166667
4108,4192,1.3599998,1.55,1.233333
4192,4276,1.2499998,1.125,1.333333
4276,4360,1.38,1.5,1.3
4360,4444,1.4600002,1.525,1.416667
4444,4528,1.42,1.3,1.5
4528,4612,1.4700002,1.4,1.516667
4612,4696,1.4499998,1.325,1.533333
4696,4780,1.5499998,1.575,1.533333
4780,4864,1.6300002,1.575,1.666667
4864,4948,1.89,1.875,1.9
4948,5032,1.6300002,1.725,1.566667
5032,5116,1.6099998,1.65,1.583333
5116,5200,1.18,1.225,1.15
5200,5284,1.06,0.85,1.2
5284,5368,1.4200002,1.575,1.316667
5368,5452,1.59,1.8,1.45
5452,5536,1.7200002,1.5,1.866667
5536,5620,1.27,1.3,1.25
5620,5704,0.7300002,0.9,0.616667
5704,5788,0.32,0.35,0.3
5788,5872,0.2400002,0.275,0.216667
5872,5956,0.2600002,0.175,0.316667
5956,6040,0.37,0.25,0.45
6040,6124,0.27,0.225,0.3
6124,6208,0.2299998,0.15,0.283333
6208,6292,0.1699998,0.225,0.133333
6292,6376,0.2400002,0.275,0.216667
6376,6460,0.1900002,0.15,0.216667
6460,6544,0.2,0.2,0.2
6544,6628,0.22,0.175,0.25
6628,6712,0.2400002,0.125,0.316667
6712,6796,0.2399998,0.25,0.233333
6796,6880,0.2000002,0.175,0.216667
6880,6964,0.28,0.175,0.35
6964,7048,0.15,0.225,0.1
7048,7132,0.2399998,0.25,0.233333
7132,7216,0.2300002,0.25,0.216667
7216,7300,0.1899998,0.2,0.183333
7300,7384,0.31,0.25,0.35
7384,7468,0.18,0.225,0.15
7468,7552,0.26,0.35,0.2
7552,7636,0.16,0.175,0.15
7636,7720,0.14,0.125,0.15
7720,7804,0.2500002,0.375,0.166667
7804,7888,0.26,0.275,0.25
7888,7972,0.1100002,0.1,0.116667
7972,8056,0.2100002,0.275,0.166667
