lower, upper,rate
1000,1084,16.0599998
1084,1168,14.86
1168,1252,13.7900004
1252,1336,12.7100004
1336,1420,11.5999994
1420,1504,11.2499998
1504,1588,10.2399998
1588,1672,8.88
1672,1756,9.29
1756,1840,8.6400004
1840,1924,7.59
1924,2008,7.81
2008,2092,8.2199996
2092,2176,7.3699996
2176,2260,6.4100004
2260,2344,6.0899998
2344,2428,6.1800004
2428,2512,5.8200004
2512,2596,5.6000002
2596,2680,5.36
2680,2764,4.02
2764,2848,3.6399998
2848,2932,4.5300002
2932,3016,6.1799998
3016,3100,6.5
3100,3184,5.1499996
3184,3268,2.8600002
3268,3352,1.8999998
3352,3436,1.9700002
3436,3520,1.9699998
3520,3604,2.02
3604,3688,1.58
3688,3772,1.4699998
3772,3856,1.6700002
3856,3940,1.4200002
3940,4024,1.5300002
4024,4108,1.4000002
4108,4192,1.3600002
4192,4276,1.53
4276,4360,1.6
4360,4444,1.65
4444,4528,1.6100002
4528,4612,1.53
4612,4696,1.84
4696,4780,1.7
4780,4864,1.6499998
4864,4948,1.8500002
4948,5032,1.7
5032,5116,2.5500002
5116,5200,2.2600002
5200,5284,2.56
5284,5368,1.8499998
5368,5452,1.5600002
5452,5536,1.4099998
5536,5620,1.4600002
5620,5704,1.89
5704,5788,2.06
5788,5872,1.6200002
5872,5956,1.3100002
5956,6040,0.77
6040,6124,0.4199998
6124,6208,0.28
6208,6292,0.29
6292,6376,0.2499998
6376,6460,0.32
6460,6544,0.2700002
6544,6628,0.3699998
6628,6712,0.2299998
6712,6796,0.2699998
6796,6880,0.22
6880,6964,0.2299998
6964,7048,0.29
7048,7132,0.2300002
7132,7216,0.2399998
7216,7300,0.2499998
7300,7384,0.37
7384,7468,0.1699998
7468,7552,0.2699998
7552,7636,0.28
7636,7720,0.2399998
7720,7804,0.2600002
7804,7888,0.1300002
7888,7972,0.2
7972,8056,0.23
