lower, upper, rate
1000, 1084, 8.675000
1084, 1168, 8.224999
1168, 1252, 7.500000
1252, 1336, 6.475000
1336, 1420, 5.875000
1420, 1504, 5.025000
1504, 1588, 5.525000
1588, 1672, 5.650000
1672, 1756, 4.500000
1756, 1840, 4.025000
1840, 1924, 5.075000
1924, 2008, 5.225000
2008, 2092, 3.650000
2092, 2176, 2.500000
2176, 2260, 3.225000
2260, 2344, 2.850000
2344, 2428, 2.700000
2428, 2512, 2.300000
2512, 2596, 1.850000
2596, 2680, 2.050000
2680, 2764, 2.125000
2764, 2848, 3.300000
2848, 2932, 2.250000
2932, 3016, 1.550000
3016, 3100, 1.150000
3100, 3184, 0.900000
3184, 3268, 1.375000
3268, 3352, 1.150000
3352, 3436, 0.775000
3436, 3520, 0.975000
3520, 3604, 0.675000
3604, 3688, 0.575000
3688, 3772, 0.700000
3772, 3856, 0.625000
3856, 3940, 0.475000
3940, 4024, 0.625000
4024, 4108, 0.700000
4108, 4192, 0.575000
4192, 4276, 0.950000
4276, 4360, 0.825000
4360, 4444, 0.500000
4444, 4528, 0.750000
4528, 4612, 0.550000
4612, 4696, 0.725000
4696, 4780, 0.675000
4780, 4864, 0.825000
4864, 4948, 0.975000
4948, 5032, 0.800000
5032, 5116, 0.550000
5116, 5200, 0.650000
5200, 5284, 0.700000
5284, 5368, 0.775000
5368, 5452, 0.450000
5452, 5536, 0.475000
5536, 5620, 0.250000
5620, 5704, 0.250000
5704, 5788, 0.125000
5788, 5872, 0.200000
5872, 5956, 0.375000
5956, 6040, 0.075000
6040, 6124, 0.125000
6124, 6208, 0.150000
6208, 6292, 0.100000
6292, 6376, 0.325000
6376, 6460, 0.100000
6460, 6544, 0.200000
6544, 6628, 0.125000
6628, 6712, 0.200000
6712, 6796, 0.175000
6796, 6880, 0.150000
6880, 6964, 0.150000
6964, 7048, 0.050000
7048, 7132, 0.150000
7132, 7216, 0.250000
7216, 7300, 0.100000
7300, 7384, 0.175000
7384, 7468, 0.175000
7468, 7552, 0.175000
7552, 7636, 0.275000
7636, 7720, 0.125000
7720, 7804, 0.200000
7804, 7888, 0.100000
7888, 7972, 0.150000
7972, 8056, 0.100000
