top, rate, uncut
4192, 186.000000, 186.000000
4232, 0.600000, 0.600000
4272, 6.500000, 6.500000
4312, 12.600000, 12.600000
4352, 19.200000, 19.200000
4392, 20.600000, 20.600000
4432, 27.400000, 27.400000
4472, 32.500000, 32.500000
4512, 39.700000, 39.700000
4552, 42.700000, 42.700000
4592, 47.600000, 47.600000
4632, 56.000000, 56.000000
4672, 58.100000, 58.100000
4712, 61.800000, 61.800000
4752, 68.400000, 68.400000
4792, 76.400000, 76.400000
4832, 78.900000, 78.900000
4872, 83.200000, 83.200000
4912, 93.700000, 93.700000
4952, 91.200000, 91.200000
4992, 96.500000, 96.500000
5032, 104.200000, 104.200000
5072, 106.100000, 106.100000
5112, 110.700000, 110.700000
5152, 118.500000, 118.500000
5192, 116.500000, 116.500000
5232, 131.100000, 131.100000
5272, 129.800000, 129.800000
5312, 134.800000, 134.800000
5352, 140.200000, 140.200000
5392, 143.500000, 143.500000
5432, 150.200000, 150.200000
5472, 154.500000, 154.500000
5512, 158.000000, 158.000000
5552, 165.800000, 165.800000
5592, 172.000000, 172.000000
5632, 177.700000, 177.700000
5672, 170.100000, 170.100000
5712, 177.800000, 177.800000
5752, 179.900000, 179.900000
5792, 184.300000, 184.300000
5832, 183.900000, 183.900000
5872, 195.000000, 195.000000
5912, 192.000000, 192.000000
5952, 203.900000, 203.900000
5992, 204.500000, 204.500000
6032, 214.500000, 214.500000
6072, 211.400000, 211.400000
6112, 218.500000, 218.500000
6152, 226.600000, 226.600000
6192, 220.700000, 220.700000
6232, 224.800000, 224.800000
6272, 235.300000, 235.300000
6312, 225.300000, 225.300000
6352, 236.100000, 236.100000
6392, 235.300000, 235.300000
6432, 231.000000, 231.000000
6472, 245.100000, 245.100000
6512, 251.700000, 251.700000
6552, 255.600000, 255.600000
6592, 264.500000, 264.500000
6632, 257.600000, 257.600000
6672, 261.300000, 261.300000
6712, 270.400000, 270.400000
6752, 263.300000, 263.300000
6792, 271.400000, 271.400000
6832, 273.000000, 273.000000
6872, 282.300000, 282.300000
6912, 282.000000, 282.000000
6952, 280.700000, 280.700000
6992, 282.100000, 282.100000
7032, 298.300000, 298.300000
7072, 300.100000, 300.100000
7112, 295.600000, 295.600000
7152, 298.600000, 298.600000
7192, 294.900000, 294.900000
7232, 301.900000, 301.900000
7272, 310.800000, 310.800000
7312, 312.200000, 312.200000
7352, 312.800000, 312.800000
7392, 320.600000, 320.600000
7432, 320.800000, 320.800000
7472, 326.700000, 326.700000
7512, 325.100000, 325.100000
7552, 327.000000, 327.000000
7592, 335.500000, 335.500000
7632, 326.300000, 326.300000
7672, 332.700000, 332.700000
7712, 341.300000, 341.300000
7752, 338.300000, 338.300000
7792, 336.300000, 336.300000
7832, 345.400000, 345.400000
7872, 353.600000, 353.600000
7912, 341.900000, 341.900000
7952, 347.700000, 347.700000
7992, 348.200000, 348.200000
8032, 357.300000, 357.300000
8072, 367.800000, 367.800000
8112, 345.200000, 345.200000
8152, 361.900000, 361.900000
8192, 357.700000, 357.700000
8232, 363.400000, 363.400000
