trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00400000,067A,0176,DF7F,F418,C931,E488,01BA,D758,FE66,FC58,CF84,EE4F,089F,FDDF,F745,0129,D8B9,F71D,F1FE,D775,CD74,E4C1,CB55,F77C,B74D,0000,0000,0000,0000,0000,0000,0000,0000
00400000,D32C,FA6D,E386,E798,C7FF,E8B0,FB9E,DAF2,FABD,F9C8,D121,EC2F,05CA,F4CF,F546,F827,D752,F6F7,F4FC,D732,D23D,DD81,D08A,F268,498A,0000,0000,0000,0000,0000,0000,0000,0000
00800000,EDDD,FC82,D841,EFC8,C958,E6C7,FA8F,E05E,FE2E,F803,D17D,EFE1,0C3E,F812,F9CB,0276,D8B6,F514,F030,D69B,D190,DF2F,C6E6,919A,E9E5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,71DA,F8AE,E573,EDFA,C6F1,EBAE,FF36,D992,00D9,F623,D667,F2DA,0CDF,FE0E,FB16,06EF,D663,F55A,F36B,DAB2,CFB1,DF2E,D1D1,C980,EE46,0000,0000,0000,0000,0000,0000,0000,0000
00800000,D164,FAFD,E25C,F27C,C448,E722,00A3,DB49,FDE0,FFA2,DA89,F581,0FEA,FB8F,034B,0398,E2C1,F5E6,F154,D3A6,D6F8,F168,CB8E,B914,EA8C,0000,0000,0000,0000,0000,0000,0000,0000
00400000,C2AA,0357,DC91,E60F,C550,E6B3,FEAA,D645,FDE1,F35E,D5D2,EB72,0810,F6B1,FD18,FCF5,D50C,F289,F6F7,D84D,D4B3,DD1B,CC07,F6F3,C094,0000,0000,0000,0000,0000,0000,0000,0000
00400000,20C7,FDA9,E111,EAAD,C64E,E527,FF72,D4D6,FD06,F5DF,D50F,F0A1,084D,F4A9,F86D,FE9F,D610,F7A9,F367,D5F7,D64C,DE28,D02B,ECEE,B789,0000,0000,0000,0000,0000,0000,0000,0000
00C00000,3BDB,F78A,D98F,E446,C1A0,E146,FCA8,D04B,F394,F215,D2A8,E8F7,01A3,F750,F717,F92C,CDEE,FB68,EF00,D244,CD53,D688,CBB9,5AFE,E3F1,0000,0000,0000,0000,0000,0000,0000,0000
00400000,509E,F7E4,DF0C,E746,C61D,E61A,F5EA,D514,FDCD,F985,D3E0,EEF6,01A7,F4A4,FD16,0280,D62B,F598,F4DD,D38B,D4FC,DF63,C555,F443,A8D6,0000,0000,0000,0000,0000,0000,0000,0000
00400000,673F,FC92,E251,F3A3,CFC7,E42F,FB5A,D31D,F820,F934,D74B,F0DB,082F,F5B1,F941,FC3B,D5C2,F325,F097,DF8E,D1A6,F2C0,C9B5,EEA3,5FDC,0000,0000,0000,0000,0000,0000,0000,0000
00400000,151C,FF3E,E1A7,EAAB,C55A,E4E5,FA56,D8D7,FD08,F427,D43E,EFAD,0662,F578,F4B9,020D,DA7E,F7AD,EE1E,D5E3,D187,DB17,CD21,F7D0,FBE6,0000,0000,0000,0000,0000,0000,0000,0000
00800000,A24B,FB0C,DBFB,E9E8,C493,E257,FA06,D50F,FB83,F719,D709,F164,FD3D,F724,F6DF,FE8A,D1B5,F7D7,EEEE,D670,CF20,DE42,C856,52BB,E5B2,0000,0000,0000,0000,0000,0000,0000,0000
00400000,5AD3,F8DE,DF59,E948,C2AE,E145,FA23,D56E,F5CE,F14E,D4B3,F02E,0880,F33F,FA09,F831,DCBA,FE28,EEE9,D76E,D670,DF59,CB9A,EFFE,32EF,0000,0000,0000,0000,0000,0000,0000,0000
00400000,6EE4,FCA4,DD00,EB78,C3C8,E599,FD16,D698,FBA2,F7FF,D98D,EB83,0566,FA66,026A,0254,D457,F5DA,F3A3,D3C7,CFEE,DA41,CCDB,F3CA,3DF4,0000,0000,0000,0000,0000,0000,0000,0000
00400000,56F9,0164,DF6C,EE2F,C9C8,E484,FCBB,DAF9,F9E4,FF2E,D95C,F5F0,055E,F8AE,FC77,035D,D363,F1C7,F05B,D8C1,D39B,D7CD,C5CE,EE43,A50A,0000,0000,0000,0000,0000,0000,0000,0000
00400000,A7D2,FC7F,E2DB,E598,BC9E,DC9F,FA1D,D260,FAE3,F8BE,D5C8,ED0C,029C,F63D,F9FB,FD81,D6EC,F547,EF59,D7DC,D940,E446,CC75,F62C,74AB,0000,0000,0000,0000,0000,0000,0000,0000
00400000,DBF7,FE05,E21B,E953,C0DD,E34C,F6B8,D5F8,F7F5,F162,D438,F06E,079D,F854,F7BE,05D5,CF9D,F1A4,F194,D78D,DBD0,DEB5,CBF5,F5C5,497A,0000,0000,0000,0000,0000,0000,0000,0000
00400000,5537,00E3,DCF8,E8EA,C4FE,E623,0304,D9DC,F7C9,FAE8,D8E9,EF45,064F,F6BC,F426,00B2,D7C1,F41A,EF4C,D3D1,D28C,DD77,CBC4,F4E7,5E11,0000,0000,0000,0000,0000,0000,0000,0000
