Connected to board at 134.84.150.114
trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,0000,4E67,4B92,4FCF,4633,487E,5447,4949,5489,5283,47E5,4F45,58B5,4E5D,50CF,51BE,47E5,52AE,5103,4491,44C5,4C0B,41AE,8753,4F00,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,51A2,4ABE,4E8C,44B6,491D,547B,489C,5498,5080,449D,4FC4,58A3,4E41,50A0,5482,4943,53C2,5405,44FE,43F8,4D31,4434,B720,4EC6,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5127,4AEE,4C2D,40C6,4A4C,544A,46C4,51B9,5115,455B,4E6A,56FC,4E97,5202,546B,48A5,5379,52CD,4641,469C,4BFB,43B5,9C97,5086,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,50B8,47E2,4BF3,41CF,487E,5463,476F,5391,52BE,4740,4CA0,54F6,4BD6,50BA,51ED,47CA,510C,5064,4795,4375,4B94,4519,7DBA,4E21,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5138,4AA1,4EFF,42A9,49B9,5622,46C5,5329,52CD,4609,4F73,5831,4D23,51A2,5459,45D5,53A0,5335,4606,44FD,4A4A,423F,84FD,D418,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5399,4C01,514A,42C2,4C59,5572,4A2C,5715,5412,48AB,5139,5927,5405,550E,552A,49AD,5228,5169,46C7,438C,4CB0,40FE,C63D,4F75,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,5253,4714,4CEB,42D3,4A5D,53C6,46F1,5431,4E68,446B,4DF7,566F,4D41,4FAD,4F19,45BD,53BC,51E4,46BC,43F6,4B9F,442F,85BE,516B,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,507E,4A63,515E,4351,4B25,550C,4887,5449,524C,458C,5028,5659,4DF6,54BA,5570,4A73,547A,51A1,468E,474B,4F1E,436F,8B29,529F,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,50C0,4A6E,4C2E,41EC,476C,5295,45FE,5105,4F86,451B,4C92,56B1,4C27,50DA,5022,46F9,517F,5090,45E3,46EA,4AEE,4229,85D5,4F41,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0000,51EF,49B0,4FB7,4174,49D3,552A,4822,54C9,5193,4754,4E02,570D,4C6B,509E,5298,475E,50DC,5075,43F6,4537,49FB,42B8,D4B1,4C4C,0000,0000,0000,0000,0000,0000,0000,0000
