trigger_code,timestamp,en_CH0,en_CH1,en_CH2,en_CH3,en_CH4,en_CH5,en_CH6,en_CH7,en_CH8,en_CH9,en_CH10,en_CH11,en_CH12,en_CH13,en_CH14,en_CH15,en_CH16,en_CH17,en_CH18,en_CH19,en_CH20,en_CH21,en_CH22,en_CH23,en_CH24,en_CH25,en_CH26,en_CH27,en_CH28,en_CH29,en_CH30,en_CH31
00800000,B921,300A,2B8C,2ED9,27FD,2C6A,32DE,29EB,3374,2FE6,29F5,2F3C,32FB,2F61,30C4,3241,292D,3085,312B,28DD,2A3A,2D81,27FB,4E7A,30F0,0000,0000,0000,0000,0000,0000,0000,0000
00800000,B234,30FA,2CC7,2F55,268D,2C7B,31F7,2ABA,3233,2F98,283D,2D56,32A9,2E92,2FF9,315C,2830,32AB,31C9,2B00,2B02,2E03,2840,3ED4,2FBC,0000,0000,0000,0000,0000,0000,0000,0000
00800000,39D0,3083,2BB5,2E92,277C,2B2F,32C6,2A5E,31FF,30CD,2911,2E64,34BA,2E2B,30EA,31D1,29B7,3057,302B,29FE,2976,2C0C,27C0,4779,2FA5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,A77F,3123,2BC1,2E9F,247B,2B9F,31EA,2C46,31DB,2F8C,28CF,2F80,344A,2E63,327B,3230,2982,30EC,30BA,2A6D,2B12,2C64,2830,724D,2EC4,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5902,30EA,2BED,2EAD,2754,2B72,3264,29D9,318E,2F7A,2958,2F95,32F4,2DEF,3209,30D7,2B3B,329D,3247,2A84,2A8C,2E8F,2A04,4E37,3103,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0594,2FFD,2C7B,2EA6,2813,2B96,3195,2A65,332E,2FDE,283D,2F8B,3404,2EA8,3136,3252,2945,30D4,3032,2931,29DC,2C7E,2773,3F14,300E,0000,0000,0000,0000,0000,0000,0000,0000
00800000,7359,30ED,2BC9,2E35,26AB,2C3C,336D,2B11,31C6,2F7B,28F1,2F02,3466,2E9C,3181,31D6,29E9,330B,3369,2B64,2B17,2E4D,29E8,46CE,304A,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DD38,2F80,2CDB,2EEB,2687,2C38,3254,2AC0,326F,3125,292A,2EFC,343C,2E86,319A,31D2,2943,309B,3176,2AAE,2898,2D2C,28B2,5BB9,2F99,0000,0000,0000,0000,0000,0000,0000,0000
00800000,8C56,30B6,2C3D,2D9C,26EE,2B78,323C,2B3E,31B8,30EC,28D4,2E8E,3407,2D3D,3102,32A5,28B4,311E,3062,2A5B,2950,2D64,2919,4232,2FB6,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DC0B,2FE9,2CC0,2EC3,2624,2C09,3292,2C5B,3267,30BD,29CD,2FB0,34D0,2E96,31AC,328B,28E5,32EB,32B6,2A11,2B3A,2CE8,2A94,4422,31E5,0000,0000,0000,0000,0000,0000,0000,0000
00800000,6E23,2F5B,2CD3,2EBD,27CF,2C80,315C,2B35,32CA,3086,29F3,2F4B,3376,2E92,3073,334D,2AC7,31CC,308B,28B1,2968,2C71,2925,3F0E,307C,0000,0000,0000,0000,0000,0000,0000,0000
00800000,AE9A,307A,2C86,2E94,26D9,2C37,331F,2B18,338E,31B1,2A45,2E44,3432,2E16,3131,3395,29AF,31AF,3172,2A4F,2A18,2DCE,2985,6906,306D,0000,0000,0000,0000,0000,0000,0000,0000
00800000,B18A,3182,2C78,2EAE,28C3,2C39,3233,2A77,32D2,3063,2A8E,2FDD,3627,2E05,319D,3260,2A3F,318E,32F3,2A6B,2951,2DEB,2867,4BC8,2FD7,0000,0000,0000,0000,0000,0000,0000,0000
00800000,27AB,3156,2CF1,2E9A,28E4,2CF0,3381,2C2F,327C,3194,2B20,2FC1,3599,2EEC,30AF,3346,2AD5,3277,3053,29C3,2969,2BCB,2874,3F06,2EA7,0000,0000,0000,0000,0000,0000,0000,0000
00800000,F00B,3116,2D3F,2DCF,2649,2C44,3227,2B4E,335F,30D4,2A15,2ED8,346F,2ED4,313C,3270,294E,31F4,3221,2AFC,2A21,2DCD,29D4,4E48,3049,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1102,2FDA,2BDE,2CCD,2558,2BB1,303F,2A09,3054,2F20,289D,2DC6,330D,2D8D,2F1D,305D,2939,32EB,31AA,2A79,2AC0,2CD2,2930,47D5,2FB0,0000,0000,0000,0000,0000,0000,0000,0000
00800000,586E,30F8,2DDA,2EA3,27A2,2C14,326B,2AE2,340B,3095,2AC8,3076,33FB,2EEC,3154,32C5,2A8A,329F,3198,2B37,2AC1,2DF6,2827,80CE,2F68,0000,0000,0000,0000,0000,0000,0000,0000
00800000,CDE3,325C,2CAC,2E46,276E,2C4B,3160,2C09,3317,315B,2A69,301F,3515,2F2F,30F1,334C,2A8A,310F,311E,29C1,28D6,2E22,27DC,8220,2F34,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DD7C,3180,2F40,2F24,28B4,2DF6,3342,2B2B,33AD,30F0,2A71,2F75,355F,2E6C,3103,3218,29D8,328A,313E,2966,2A89,2E58,292C,52BE,2F57,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5282,30A3,2C1D,2F01,26FC,2BB2,32E0,2AE6,31A0,30D2,2A15,2FBC,347A,300C,300D,3259,292B,32B1,318E,298D,2A2D,2CF2,2882,42DB,2FD7,0000,0000,0000,0000,0000,0000,0000,0000
00800000,65DF,30DA,2C2E,2E7D,2773,2B09,3199,2A78,310C,2F21,28AF,2DFE,3389,2D71,3022,30DB,29FF,31DE,318F,2A68,29FD,2DDC,28C5,B84E,2ECE,0000,0000,0000,0000,0000,0000,0000,0000
00800000,DE1A,3089,2C0F,2E05,270F,2A91,320A,2A96,323E,2FB3,2892,2EDD,3390,2D44,3067,30F1,28F7,2FE6,308C,2823,2746,2C18,277D,6DE0,31C1,0000,0000,0000,0000,0000,0000,0000,0000
00800000,0D00,332F,2D58,2F85,28C8,2C41,33B7,2C6A,327B,319C,2A75,30D1,35DB,2F58,31D3,337D,2AD0,32A7,311B,2A82,29F6,2EA2,28CC,4BA0,3063,0000,0000,0000,0000,0000,0000,0000,0000
00800000,10B2,31D6,2CCD,2F27,2663,2D11,32A8,2BA3,32B1,3111,28AF,3021,3501,2E8C,30FD,3221,2983,31F4,3283,2A54,2A05,2E34,2948,47F5,2F65,0000,0000,0000,0000,0000,0000,0000,0000
00800000,1122,31F0,2C29,2FBF,28CF,2BDA,32A5,2AFB,3222,30A7,29E5,2E9C,3533,2EEA,313C,313C,2A36,3192,30D8,2A63,2A1A,2D16,2888,4307,3017,0000,0000,0000,0000,0000,0000,0000,0000
00800000,5B5A,3122,2C69,2D9E,2790,2C50,31C8,2ADC,3241,2FD3,2951,2E60,33FE,2C80,3010,3095,2A5C,31F2,315F,29F2,298E,2C9B,279C,809E,2E1B,0000,0000,0000,0000,0000,0000,0000,0000
